Parameter Name,Description,Instrument Count,Instruments
Audio On/Off Toggle,Global audio engine master enable/disable toggle.,127,Algorithmic Mazes; Annealogue; Atomic Orbitals; Bell Square; Boidzoid; Mouthophones; Candy Coil Delay; Cantor Lock; Cascading FM; Cascading PM; Automatapoeia; Chaotic FM; Chaotic PM; Charge Garden; Chladni Plate; Monstrozoid; Morphazoid Composer; Creaturazoid; Digestazoid; DJ Dijkstra; DNA Translator; Double Pendulum; Entanglement Dance; Enveloper; Escape Dust; Escher; Euclidean Pulse; Falling Forms; FM Drums; Fourier Epicycles; Gear Ratio Drums; Geodesic Drift; Graph Drum Machine; Graph Synth; Gravity Lens; Gravity Walk; Hanoi Carillon; Harmonicazoid; Hiccup Head; Hocket Luigi; Hybrinx; Hyper; Hyper Drum Machine; Hyper Rubix; Hyper-Syrinx; Jaw Harp; Jaw Jam; Julia; Julie Saw; Karplus Carpet; Karplus Strong; Klein Bottle; L-System; L-System Drum Machine; Lattice; Lattice Drum Machine; Rattlesnake; Rattle Snake Skin; Linebreaker; Lissajous Orbits; Lumber Loops; Micromorph; Alpha-Beta Minimax; Möbius; Fabric Filter; RISSET-MOIRE; Morphazoidical; Morphynx; Neural Pulse; N-Queens Backtracker; Dentaphone; Feral Fairy Ferris Ferry; Order Tones; Ouroboros; Ouroboros Borealis; Ourorourobouroboros; Packing Pressure; Paths; Pendulum Wave; Penrose Tilings; Pink Trombonazoid; Plasma Ball; Playhead Paint; Plugazoid; Prime Sieve; Puggler the Punk Rock Jugger; Quadruped; Quantum Square Dance; Reaction-Diffusion; Recursion; Recursive FM; Recursive PM; Ricochet; Rigidity; Rolling Measure; Rubix Cube Sequencer; Sample Drums; Sandy Syrup Delay; Modular Shader Synth; Shape; Shape Drum Machine; Shepard–Risset; SIMD 303; SIMD Resonator; SIMD SYNTH; Sliding Puzzle; Solid; Solid Drum Machine; Sorting; Spiral; Spiral Drum Machine; Spring Choir; Striped Staircase; Surround for Safety; Syrinx; Throat Singing; Throatazoid; Tiles; Tongued Beasts; Vector Flight; Vocalzoid; Wave Pool; WebGPU 303; WebGPU Chiptune; GPU Shader Synths; Weierstrass; Yoyodyne
Output Level Slider (master gain),Master audio output level and gain control slider.,115,Algorithmic Mazes; Alien Larynx; Annealogue; Atomic Orbitals; Bell Square; Blowhole; Mouthophones; Candy Coil Delay; Cantor Lock; Cascading FM; Cascading PM; Automatapoeia; Chaotic FM; Chaotic PM; Chladni Plate; Morphazoid Composer; Digestazoid; DJ Dijkstra; DNA Translator; Double Pendulum; Entanglement Dance; Escape Dust; Euclidean Pulse; FM Drums; Fourier Epicycles; Gear Ratio Drums; Geodesic Drift; Gesturama; Graph Delay; Graph Drum Machine; Graph Synth; Gravity Lens; Hanoi Carillon; Harmonicazoid; Hiccup Head; Hocket Luigi; Hyper; Hyper Drum Machine; Hyper Rubix; Hyper-Syrinx; Wheel of Organs; Jaw Harp; Jaw Jam; Julia; Julie Saw; Karplus Carpet; Karplus Strong; Klein Bottle; L-System; L-System Drum Machine; Lattice; Lattice Drum Machine; Rattlesnake; Rattle Snake Skin; Linebreaker; Lissajous Orbits; Lumber Loops; L-system Delay; Micromorph; Alpha-Beta Minimax; Möbius; Fabric Filter; RISSET-MOIRE; Morphazoidical; Morphynx; Neural Pulse; N-Queens Backtracker; Dentaphone; Feral Fairy Ferris Ferry; Order Tones; Ouroboros; Ouroboros Borealis; Ourorourobouroboros; Paths; Pendulum Wave; Pink Trombonazoid; Plasma Ball; Playhead Paint; Plugazoid; Prime Sieve; Puggler the Punk Rock Jugger; Quantum Square Dance; Reaction-Diffusion; Recursion; Recursive FM; Recursive PM; Rubix Cube Sequencer; Sample Drums; Sandy Syrup Delay; Modular Shader Synth; Shape; Shape Drum Machine; SIMD 303; SIMD Resonator; SIMD SYNTH; Sliding Puzzle; Solid; Solid Drum Machine; Sorting; Spelling Synthesizer; Spider Synth; Spiral; Spiral Drum Machine; Spring Choir; srtuss Master; Striped Staircase; Throat Singing; Tiles; Vocalzoid; Wave Pool; WebGPU 303; WebGPU Chiptune; GPU Shader Synths; Weierstrass; Yoyodyne
Reset All Parameters Button,Restores all instrument parameters and scenes to default values.,62,Algorithmic Mazes; Alien Larynx; Atomic Orbitals; Candy Coil Delay; Cascading FM; Cascading PM; Chaotic FM; Chaotic PM; Charge Garden; DNA Translator; Double Pendulum; Drum Roll Please!; Falling Forms; FFmpeg Wasm; Fourier Epicycles; Geodesic Drift; Graph Delay; Graph Drum Machine; Gravity Lens; Gravity Walk; Harmonicazoid; Hyper; Jaw Harp; Julia; Julie Saw; Karplus Strong; Kinetic Hull; Klein Bottle; L-System; L-System Drum Machine; L-Systems; Lattice; Rattlesnake; Lumber Loops; L-system Delay; Micromorph; Möbius; Fabric Filter; Morphynx; Neural Pulse; Ouroboros; Ouroborousel; Ourorourobouroboros; Packing Pressure; Paths; Pink Trombonazoid; Puggler the Punk Rock Jugger; Reaction-Diffusion; Recursion; Recursive FM; Recursive PM; Ricochet; Rigidity; Rolling Measure; Shepard–Risset; SIMD Resonator; Solid; Spiral; Striped Staircase; Syrinx; Throat Singing; Throatazoid
Play/Pause Transport Button,"Starts, pauses, or toggles the main playback transport.",39,Algorithmic Mazes; Annealogue; Bell Square; Charge Garden; Creaturazoid; Entanglement Dance; Enveloper; Falling Forms; Geodesic Drift; Graph Drum Machine; Graph Synth; Gravity Walk; Hybrinx; Hyper; Julia; Kinetic Hull; Klein Bottle; L-System; L-System Drum Machine; Rattle Snake Skin; Möbius; Ouroboros; Ouroborousel; Ourorourobouroboros; Packing Pressure; Paths; Playhead Paint; Puggler the Punk Rock Jugger; Quadruped; Quantum Square Dance; Ricochet; Rigidity; Rolling Measure; Shape; Shape Drum Machine; Solid; Spiral; Tiles; Tongued Beasts
Base/Carrier Frequency Slider,Fundamental base frequency or carrier oscillator pitch.,27,Chaotic FM; Chaotic PM; Charge Garden; DJ Dijkstra; Euclidean Pulse; Falling Forms; Geodesic Drift; Gravity Walk; Hanoi Carillon; Hyper; Kinetic Hull; Klein Bottle; L-Systems; Lattice; Alpha-Beta Minimax; Möbius; Morphazoidical; N-Queens Backtracker; Packing Pressure; Recursive FM; Recursive PM; Ricochet; Rigidity; Rolling Measure; Shape; Solid; Spiral
Keyboard Shortcuts (transport),Hardware computer-keyboard transport and trigger shortcuts.,22,Candy Coil Delay; Cantor Lock; Charge Garden; Shapes; Entanglement Dance; Euclidean Pulse; Falling Forms; Graph Drum Machine; Gravity Walk; Hanoi Carillon; L-System; Lumber Loops; Alpha-Beta Minimax; Fabric Filter; Morphazoidical; N-Queens Backtracker; Packing Pressure; Quantum Square Dance; Ricochet; Rigidity; Rolling Measure; SIMD Resonator
Voice/Engine/Preset Select,"Selects the active synthesis engine, voice mode, or preset.",19,Algorithmic Mazes; Shapes; Gesturama; Graph Synth; Harmonicazoid; Hiccup Head; Jaw Jam; Julie Saw; L-System; Lattice; Rattle Snake Skin; Morphazoidical; Paths; Penrose Tilings; Pink Trombonazoid; SIMD Resonator; SIMD SYNTH; Solid; Spiral
Reset (Scene/Form/Vertices/Tile/View/System) Button,Action trigger button.,17,Hyper; Hyper Rubix; Julia; L-System; L-System Drum Machine; Lattice; Lattice Drum Machine; Roach Synth; Shape Drum Machine; SIMD 303; Solid; Solid Drum Machine; Spider Synth; Spiral; Spiral Drum Machine; Tiles; WebGPU 303
Pitch Range Slider,Controls the span of pitches mapped across geometry or time.,15,Charge Garden; Falling Forms; Gravity Walk; Hyper; L-Systems; Lattice; Morphazoidical; Packing Pressure; Penrose Tilings; Ricochet; Rigidity; Rolling Measure; Shape; Solid; Spiral
Speed/Scan/Traversal Rate Slider,"Rate of playhead scanning, geometric traversal, or animation.",12,Algorithmic Mazes; Atomic Orbitals; Boidzoid; DNA Translator; Julia; L-System; L-System Drum Machine; Ouroboros; Paths; Prime Sieve; Striped Staircase; Tiles
